draft,draft_team,odds_real,player_taken,prelottery_position,record
1993 NBA Draft Lottery,Orlando Magic,1.52,Chris Webber,11th,41-41
2014 NBA Draft Lottery,Cleveland Cavaliers,1.7,Andrew Wiggins,9th,33-49
2008 NBA Draft Lottery,Chicago Bulls,1.7,Derrick Rose,9th,33-49
2025 NBA Draft Lottery,Dallas Mavericks,1.8,Cooper Flagg,11th,39-43
2011 NBA Draft Lottery,Cleveland Cavaliers,2.8,Kyrie Irving,8th,32-50
2024 NBA Draft Lottery,Atlanta Hawks,3.0,Zaccharie Risacher,10th,36-46
2000 NBA Draft Lottery,New Jersey Nets,4.4,Kenyon Martin,7th,31-52
2007 NBA Draft Lottery,Portland Trail Blazers,5.3,Greg Oden,7th,32-50
2019 NBA Draft Lottery,New Orleans Pelicans,6.0,Zion Williamson,7th,33-49
2005 NBA Draft Lottery,Milwaukee Bucks,6.3,Andrew Bogut,6th,30-52
