franchise,number_of_picks
Sacramento Kings,28
Charlotte Hornets,27
Orlando Magic,24
Los Angeles Clippers,24
Minnesota Timberwolves,23
Golden State Warriors,23
Cleveland Cavaliers,22
Washington Wizards,20
Philadelphia 76ers,20
Oklahoma City Thunder,19
Toronto Raptors,18
Phoenix Suns,18
Atlanta Hawks,18
Milwaukee Bucks,17
Detroit Pistons,17
Chicago Bulls,17
Memphis Grizzlies,16
Boston Celtics,16
Dallas Mavericks,15
Portland Trail Blazers,14
New Orleans Pelicans,14
Denver Nuggets,14
Utah Jazz,13
New York Knicks,13
Indiana Pacers,13
Houston Rockets,13
Brooklyn Nets,13
San Antonio Spurs,11
Miami Heat,10
Los Angeles Lakers,7
